location_id,location_name,city,state,region,location_type,company_id
1,Atlanta HQ,Atlanta,GA,Southeast,On-site,1
2,Chicago Office,Chicago,IL,Midwest,On-site,1
3,New York City,New York,NY,Northeast,On-site,1
4,Los Angeles Office,Los Angeles,CA,West,Hybrid,1
5,Dallas Site A,Dallas,TX,South,On-site,1
6,Dallas Site B,Dallas,TX,South,On-site,1
7,Phoenix Operations,Phoenix,AZ,West,On-site,1
8,Denver Office,Denver,CO,West,Hybrid,1
9,Seattle Office,Seattle,WA,West,Hybrid,1
10,Boston Office,Boston,MA,Northeast,Hybrid,1
11,Miami Operations,Miami,FL,Southeast,On-site,1
12,Nashville Site,Nashville,TN,Southeast,On-site,1
13,Detroit Site,Detroit,MI,Midwest,On-site,1
14,Minneapolis Office,Minneapolis,MN,Midwest,On-site,1
15,Columbus Site,Columbus,OH,Midwest,On-site,1
16,Portland Office,Portland,OR,West,Hybrid,1
17,Las Vegas Operations,Las Vegas,NV,West,On-site,1
18,Raleigh Office,Raleigh,NC,Southeast,Hybrid,1
19,Baltimore Site,Baltimore,MD,Northeast,On-site,1
20,Pittsburgh Ops,Pittsburgh,PA,Northeast,On-site,1
21,San Antonio Site,San Antonio,TX,South,On-site,1
22,Austin Office,Austin,TX,South,Hybrid,1
23,Kansas City Site,Kansas City,MO,Midwest,On-site,1
24,St. Louis Operations,St. Louis,MO,Midwest,On-site,1
25,Indianapolis Site,Indianapolis,IN,Midwest,On-site,1
26,Charlotte Office,Charlotte,NC,Southeast,Hybrid,1
27,San Diego Office,San Diego,CA,West,Hybrid,1
28,Sacramento Site,Sacramento,CA,West,On-site,1
29,Remote - East,Virtual,N/A,Northeast,Remote,1
30,Remote - West,Virtual,N/A,West,Remote,1
